Year	Month	MXSD	TSNW	TPCP	MNTM
1932	8	NaN	NaN	784	116
1932	9	NaN	0	495	104
1932	10	508	1157	4386	2
1932	11	1245	1905	5429	24
1932	12	2591	2919	3183	-60
1933	1	4267	3149	3049	-50
1933	2	5334	2718	2297	-70
1933	3	5791	2020	1623	-44
1933	4	5588	737	1067	-14
1933	5	4978	939	976	-12
1933	6	4039	330	445	46
1933	7	NaN	NaN	58	121
1933	8	NaN	NaN	111	145
1933	9	356	406	1285	64
1933	10	305	292	2213	63
1933	11	254	267	1760	44
1933	12	2134	1270	4543	-12
1934	1	3150	2011	4764	-12
1934	2	2997	520	700	9
1934	3	2921	559	2906	26
1934	4	2286	432	950	55
1934	5	1499	255	963	61
1934	6	51	51	333	87
1934	7	NaN	NaN	254	111
1934	8	NaN	0	234	131
1934	9	102	102	1215	67
1934	10	610	636	3016	56
1934	11	1346	2340	4781	12
1934	12	2896	2576	3509	-15
1935	1	4420	2896	3317	-38
1935	2	3556	1549	1548	2
1935	3	5334	2692	3351	-60
1935	4	5207	813	914	-10
1935	5	4013	164	266	38
1935	6	2692	25	874	62
1935	7	762	38	654	104
1935	8	NaN	NaN	803	105
1935	9	0	0	880	110
1935	10	305	686	1113	38
1935	11	762	1346	1732	10
1935	12	1626	1359	2226	23
1936	1	3810	4141	5117	-10
1936	2	4877	3455	3930	-41
1936	3	5740	1550	3214	-36
1936	4	5690	534	746	27
1936	5	3988	584	1691	63
1936	6	2591	0	1599	80
1936	7	76	0	595	110
1936	8	NaN	0	227	121
1936	9	76	203	574	95
1936	10	25	25	934	89
1936	11	102	153	440	53
1936	12	2362	3644	4180	-33
1937	1	3302	3302	2695	-98
1937	2	4775	4471	4303	-45
1937	3	4724	1955	1465	-3
1937	4	5182	2946	2717	-16
1937	5	4724	636	398	44
1937	6	2997	279	2632	88
1937	7	NaN	0	440	130
1937	8	NaN	0	1273	102
1937	9	0	0	556	102
1937	10	0	127	2361	75
1937	11	1524	NaN	2211	NaN
1937	12	3251	3193	3499	-9
1938	1	3404	1879	2650	-25
1938	2	4013	1765	1599	-23
1938	3	4851	3176	2472	-30
1938	4	4699	482	1394	15
1938	5	4115	660	902	52
1938	6	2438	0	256	89
1938	7	NaN	NaN	272	142
1938	8	NaN	NaN	501	112
1938	9	NaN	NaN	459	138
1938	10	51	76	2210	55
1938	11	965	1904	2748	-15
1938	12	2108	2361	3903	-16
1939	1	3937	3786	4490	-33
1939	2	5258	3707	3318	-61
1939	3	5791	1956	1925	-2
1939	4	4420	176	234	26
1939	5	3505	228	1230	50
1939	6	2108	242	1274	51
1939	7	406	0	640	120
1939	8	NaN	NaN	694	141
1939	9	NaN	0	712	101
1939	10	102	127	980	59
1939	11	NaN	NaN	NaN	NaN
1939	12	940	1611	3073	-14
1940	1	1372	1167	1702	-27
1940	2	3048	3708	5132	-25
1940	3	3251	1446	2265	9
1940	4	2794	1040	1532	18
1940	5	2743	432	1223	66
1940	6	711	25	211	102
1940	7	NaN	0	744	113
1940	8	NaN	NaN	285	123
1940	9	NaN	NaN	906	112
1940	10	305	355	3316	52
1940	11	813	1535	3523	-8
1940	12	1575	1219	2723	-14
1941	1	2540	1892	2367	0
1941	2	2413	685	1325	10
1941	3	2286	737	940	27
1941	4	2057	964	1395	39
1941	5	1168	559	1957	37
1941	6	0	0	1069	70
1941	7	NaN	NaN	72	142
1941	8	NaN	NaN	1577	125
1941	9	0	13	3280	50
1941	10	127	253	2688	45
1941	11	457	684	3121	20
1941	12	1626	2460	3874	-38
1942	1	1727	1143	1729	-7
1942	2	2667	2617	2338	-34
1942	3	2997	1625	1841	-21
1942	4	2743	1518	1884	20
1942	5	2667	559	1363	30
1942	6	1346	467	2035	59
1942	7	0	NaN	1090	130
1942	8	NaN	NaN	194	143
1942	9	NaN	NaN	19	119
1942	10	330	228	3007	62
1942	11	1575	2630	5005	-18
1942	12	3099	3378	5278	-30
1943	1	3759	1980	2154	-42
1943	2	4674	1834	3114	17
1943	3	5156	2249	3307	-21
1943	4	5131	761	1486	33
1943	5	4166	279	1366	26
1943	6	3277	3	910	66
1943	7	1524	0	264	118
1943	8	NaN	0	541	105
1943	9	NaN	0	284	142
1943	10	584	964	2440	55
1943	11	NaN	NaN	NaN	NaN
1943	12	NaN	NaN	NaN	NaN
1944	1	2337	NaN	NaN	-8
1944	2	3073	NaN	NaN	-21
1944	3	3124	NaN	NaN	-27
1944	4	3150	NaN	NaN	21
1944	5	2413	NaN	NaN	58
1944	6	762	0	353	91
1944	7	NaN	0	139	125
1944	8	NaN	0	567	111
1944	9	102	127	2547	118
1944	10	0	0	1099	104
1944	11	1067	482	1570	9
1944	12	1016	939	896	-6
1945	1	1702	1371	NaN	2
1945	2	2921	NaN	NaN	-16
1945	3	3835	305	NaN	-44
1945	4	4572	NaN	NaN	-26
1945	5	3556	NaN	NaN	73
1945	6	NaN	NaN	NaN	NaN
1945	7	NaN	0	180	128
1945	8	NaN	0	559	131
1945	9	0	0	2684	77
1945	10	305	0	800	105
1945	11	2286	915	NaN	-25
1945	12	2743	76	NaN	-19
1946	1	5080	NaN	NaN	-19
1946	2	5639	NaN	NaN	-26
1946	3	5918	NaN	NaN	-24
1946	4	NaN	NaN	NaN	NaN
1946	5	5055	0	646	65
1946	6	3150	NaN	2007	52
1946	7	1397	0	718	120
1946	8	NaN	0	286	129
1946	9	102	102	850	87
1946	10	610	1142	3836	6
1946	11	1473	1524	3147	-21
1946	12	3124	3228	4137	-23
1947	1	4369	3224	5233	-47
1947	2	4801	1092	2324	-1
1947	3	5182	1931	2176	21
1947	4	5055	1168	1714	28
1947	5	3861	76	433	73
1947	6	1676	0	2343	53
1947	7	NaN	0	795	98
1947	8	NaN	NaN	NaN	NaN
1947	9	NaN	NaN	NaN	NaN
1947	10	NaN	NaN	NaN	NaN
1947	11	NaN	NaN	NaN	NaN
1947	12	NaN	NaN	NaN	NaN
1948	1	NaN	NaN	NaN	NaN
1948	2	5029	3251	4313	-54
1948	3	NaN	NaN	NaN	NaN
1948	4	NaN	NaN	NaN	NaN
1948	5	NaN	NaN	NaN	NaN
1948	6	4267	0	1106	102
1948	7	1270	0	1028	104
1948	8	0	0	1425	93
1948	9	203	356	1425	86
1948	10	229	419	1707	52
1948	11	2515	4752	5885	-34
1948	12	4420	4292	4635	-62
1949	1	NaN	NaN	NaN	NaN
1949	2	NaN	NaN	NaN	NaN
1949	3	NaN	NaN	NaN	NaN
1949	4	NaN	NaN	NaN	NaN
1949	5	NaN	NaN	NaN	NaN
1949	6	NaN	NaN	NaN	NaN
1949	7	1422	0	693	98
1949	8	0	0	265	112
1949	9	102	0	1208	109
1949	10	381	25	1542	30
1949	11	356	0	61	82
1949	12	NaN	NaN	NaN	NaN
1950	1	NaN	NaN	NaN	NaN
1950	2	NaN	NaN	NaN	NaN
1950	3	NaN	NaN	NaN	NaN
1950	4	NaN	NaN	NaN	NaN
1950	5	NaN	NaN	NaN	NaN
1950	6	4318	0	596	74
1950	7	NaN	NaN	NaN	NaN
1950	8	279	0	910	126
1950	9	25	76	857	105
1950	10	610	686	3548	28
1950	11	1372	228	406	-15
1950	12	1702	1849	4524	-17
1951	1	3937	3886	5594	-46
1951	2	4166	2444	4921	-38
1951	3	5232	3354	4192	-52
1951	4	4851	246	305	31
1951	5	3810	173	787	49
1951	6	2464	0	216	102
1951	7	0	0	156	126
