STATION	DATE	CLDD	DP01	DP05	DP10	DT00	DT32	DT90	DX32	HTDD	EMXP	MXSD	TPCP	TSNW	EMNT	EMXT	MMNT	MMXT	MNTM
GHCND:USC00456898	19220801	0	-9999	-9999	-9999	0	1	0	0	2506	-9999	-9999	-9999	0	0	211	34	137	87
GHCND:USC00456898	19220901	0	8	3	2	0	8	0	0	2697	279	76	1016	89	-44	228	22	164	93
GHCND:USC00456898	19221001	0	12	7	6	0	19	0	1	4274	508	356	2667	762	-83	183	-6	96	45
GHCND:USC00456898	19221101	0	8	7	2	0	25	0	7	5497	292	991	1421	1219	-161	156	-45	45	0
GHCND:USC00456898	19221201	0	26	19	15	2	30	0	21	7464	597	2794	7342	332	-194	39	-97	-33	-66
GHCND:USC00456898	19230101	0	22	8	3	1	31	0	22	7315	356	5461	2719	265	-189	56	-93	-13	-53
GHCND:USC00456898	19230201	0	7	5	4	2	28	0	10	6453	813	5740	2045	1537	-206	78	-100	6	-47
GHCND:USC00456898	19230301	0	16	7	1	0	28	0	6	6594	483	5969	2058	2008	-150	128	-91	31	-30
GHCND:USC00456898	19230401	0	15	5	0	0	21	0	0	4381	229	4877	1511	148	-72	189	-10	84	37
GHCND:USC00456898	19230501	0	21	9	0	0	21	0	1	4647	241	5309	2707	660	-100	194	-16	82	33
GHCND:USC00456898	19230601	0	13	0	0	0	17	0	0	3494	119	4064	858	178	-50	222	-2	136	67
GHCND:USC00456898	19230701	0	7	2	0	0	2	0	0	2242	142	1473	542	0	0	239	34	188	111
GHCND:USC00456898	19230801	1	2	2	1	0	1	0	0	2349	376	-9999	579	0	0	267	32	183	107
GHCND:USC00456898	19230901	0	7	2	1	0	6	0	0	2372	348	-9999	815	13	-28	272	9	174	92
GHCND:USC00456898	19231001	0	-9999	-9999	-9999	0	16	0	0	3882	-9999	508	-9999	1168	-117	200	-12	119	54
GHCND:USC00456898	19231101	0	12	8	6	0	25	0	1	5006	559	762	2772	1726	-111	156	-44	76	16
GHCND:USC00456898	19231201	0	12	9	7	2	26	0	8	4646	508	3073	3327	270	-244	78	-115	22	-49
GHCND:USC00456898	19240101	0	12	8	8	0	30	0	11	6027	508	4166	3457	3733	-144	117	-96	29	-32
GHCND:USC00456898	19240201	0	10	5	4	0	29	0	20	6816	508	4470	1778	1294	-144	39	-111	-10	-60
GHCND:USC00456898	19240301	0	10	5	2	0	30	0	26	7390	483	4267	1806	3074	-150	33	-113	-14	-63
GHCND:USC00456898	19240401	0	9	4	0	0	30	0	1	5428	229	4572	1144	1727	-167	167	-86	91	2
GHCND:USC00456898	19240501	0	-9999	-9999	-9999	0	25	0	0	2732	-9999	3048	-9999	-9999	-94	311	-31	210	89
GHCND:USC00456898	19240601	0	-9999	-9999	-9999	0	27	0	0	3490	-9999	-9999	-9999	228	-89	272	-28	161	67
GHCND:USC00456898	19240701	0	3	1	0	0	30	0	0	3552	178	-9999	241	-9999	-67	217	-25	162	68
GHCND:USC00456898	19241101	-9999	-9999	-9999	-9999	0	1	0	0	-9999	-9999	-9999	-9999	-9999	-122	106	-122	106	-9999
GHCND:USC00456898	19241201	0	16	7	2	6	31	0	11	7150	559	2845	2336	2361	-272	67	-110	15	-48
GHCND:USC00456898	19250101	0	28	21	14	0	31	0	6	6789	610	4877	7087	9117	-139	67	-93	21	-36
GHCND:USC00456898	19250201	0	12	5	3	0	9	0	0	1722	330	6579	1728	2896	-72	56	-50	33	-8
GHCND:USC00456898	19250301	-9999	10	6	1	-9999	-9999	-9999	-9999	-9999	330	6706	1397	2286	-9999	-9999	-9999	-9999	-9999
GHCND:USC00456898	19251001	0	6	4	3	0	3	0	0	1801	533	0	1589	-9999	-28	194	39	102	70
GHCND:USC00456898	19251101	0	19	10	3	0	21	0	6	4682	445	1168	2628	1734	-78	150	-29	34	3
GHCND:USC00456898	19251201	0	15	13	10	0	21	0	4	4993	554	2159	4129	2184	-94	156	-15	59	22
GHCND:USC00456898	19260101	0	16	11	7	0	28	0	6	5359	1029	2921	4282	2769	-111	139	-37	44	4
GHCND:USC00456898	19260201	0	13	9	2	0	27	0	10	5099	381	3658	2223	2082	-89	117	-45	19	-13
GHCND:USC00456898	19260301	0	6	2	1	0	26	0	0	4739	411	3200	856	661	-67	139	-25	75	25
GHCND:USC00456898	19260401	0	10	2	1	0	15	0	1	2302	267	3150	858	457	-67	211	4	120	62
GHCND:USC00456898	19260501	0	13	3	2	0	19	0	1	4088	279	1575	1409	558	-61	200	-6	91	42
GHCND:USC00456898	19260601	31	5	0	0	0	7	0	0	2038	53	0	213	-9999	-17	272	49	162	109
GHCND:USC00456898	19260701	149	-9999	-9999	-9999	0	0	0	0	1478	-9999	-9999	-9999	-9999	6	294	76	189	134
GHCND:USC00456898	19260801	41	8	5	2	0	0	0	0	1280	541	-9999	1696	-9999	17	267	79	170	129
GHCND:USC00456898	19260901	0	9	5	3	0	14	0	0	3486	610	229	1927	469	-78	256	17	117	67
GHCND:USC00456898	19261001	0	11	10	6	0	12	0	1	3416	986	330	3840	363	-28	200	21	91	56
GHCND:USC00456898	19261101	0	17	9	5	0	20	0	5	4855	673	914	3517	1346	-94	150	-11	53	21
GHCND:USC00456898	19261201	0	21	13	8	2	29	0	17	6327	439	2032	4359	1749	-183	72	-68	-2	-35
GHCND:USC00456898	19270101	0	16	10	4	2	26	0	19	5745	485	-9999	3066	2725	-206	106	-70	-6	-38
GHCND:USC00456898	19270201	0	14	11	5	0	28	0	15	5921	592	5029	3391	2483	-128	61	-63	6	-28
GHCND:USC00456898	19270301	0	9	6	1	0	23	0	8	4708	528	5334	1621	1455	-128	133	-65	22	-22
GHCND:USC00456898	19270401	0	12	5	1	0	28	0	9	5517	254	5258	1619	1510	-111	150	-48	46	-1
GHCND:USC00456898	19270501	0	14	7	2	0	20	0	3	4299	483	5029	2302	1575	-61	167	-22	61	18
GHCND:USC00456898	19270601	0	5	0	0	0	2	0	0	2918	109	4166	334	-9999	0	194	44	128	86
GHCND:USC00456898	19270701	59	2	0	0	0	0	0	0	1268	94	1422	150	-9999	6	267	92	181	137
GHCND:USC00456898	19270801	6	6	1	1	0	0	0	0	1748	686	-9999	1031	0	11	228	80	159	121
