DATE	MXSD	TSNW
19520501	3886	389
19520601	2337	140
19520701	711	0
19520801	0	0
19520901	0	0
19521001	0	76
19521101	254	266
19521201	1524	813
19530101	3150	-9999
19530201	4013	-9999
19530401	4902	89
19530501	4115	545
19530601	3277	25
19530701	1905	0
19530801	0	0
19530901	0	25
19531001	127	114
19531101	660	1422
19531201	2591	978
19540101	4978	-9999
19540201	5613	-9999
19540301	5715	-9999
19540401	6502	-9999
19540501	5588	-9999
19540601	3353	165
19540701	3023	0
19540801	0	0
19540901	0	0
19541001	152	309
19541101	559	1130
19541201	2286	3765
19550101	2794	2562
19550201	4394	3327
19550301	5791	3645
19550401	6172	2950
19550501	5842	701
19550601	4877	102
19550701	2819	59
19550801	406	0
19550901	51	186
19551001	762	1250
19551101	2261	1854
19551201	3454	2870
19560101	5182	5143
19560201	6350	3785
19560301	9322	4762
19560401	8331	673
19560501	6579	165
19560601	4826	242
19560701	3251	0
19560801	0	13
19560901	0	0
19561001	1219	1962
19561101	1372	1018
19561201	2184	2733
19570101	3099	2780
19570201	4013	2742
19570301	4724	3123
19570401	4648	1066
19570501	4115	38
19570601	2134	0
19570701	-9999	-9999
19570801	-9999	-9999
19570901	-9999	-9999
19571001	229	596
19571101	1067	1930
19571201	3200	4253
19580101	4089	2975
19580201	4445	2094
19580301	4318	1354
19580401	5004	1918
19580501	4470	89
19580601	2159	0
19580701	0	0
19580801	0	0
19580901	0	0
19581001	229	254
19581101	2007	2578
19581201	1727	1536
19590101	3581	4381
19590201	4267	2680
19590301	5207	3198
19590401	4877	965
19590501	4496	509
19590601	3404	206
19590701	1168	8
19590801	0	0
19590901	102	102
19591001	279	456
19591101	1067	1423
19591201	1473	1679
19600101	2337	2096
19600201	3277	2286
19600301	3962	3125
19600401	4216	2033
19600501	3708	1041
19600601	3200	89
19600701	737	0
19600801	0	38
19600901	0	0
19601001	305	564
19601101	2184	3480
19601201	2388	1751
19610101	2997	2073
19610201	5080	5057
19610301	5766	2117
19610401	5283	1652
19610501	5232	558
19610601	3810	0
19610701	1219	0
19610801	0	0
19610901	102	152
19611001	686	1283
19611101	1372	1564
19611201	2870	3226
19620101	2972	1244
19620201	3734	1599
19620301	4623	3250
19620401	4039	1053
19620501	3937	291
19620601	3226	152
19620701	1219	13
19620801	0	0
19620901	25	0
19621001	838	915
19621101	1346	2513
19621201	1600	1117
19630101	1930	1067
19630201	2235	901
19630301	3429	3008
19630401	3353	1436
19630501	3454	508
19630601	1778	0
19630701	0	0
19630801	0	0
19630901	0	0
19631001	508	762
19631101	1676	2203
19631201	2134	1843
19640101	4978	6602
